timestamp_ms,lat,lon,accuracy_m
1788571697000,13.2562597,77.6246174,2.16
1788571698000,13.2562597,77.6246174,2.15
1788571699000,13.2562597,77.6246174,2.17
1788571700000,13.2562597,77.6246174,2.19
1788571701000,13.2562597,77.6246174,2.2
1788571702000,13.2562597,77.6246174,2.19
1788571703000,13.2562597,77.6246174,2.18
1788571704000,13.2562597,77.6246174,2.2
1788571705000,13.2562597,77.6246174,2.22
1788571706000,13.2562597,77.6246174,2.22
1788571707000,13.2562597,77.6246174,2.23
1788571708000,13.2562597,77.6246174,2.22
1788571709000,13.2562597,77.6246174,2.21
1788571710000,13.2562597,77.6246174,2.22
1788571711000,13.2562597,77.6246174,2.21
1788571712000,13.2562597,77.6246174,2.21
1788571713000,13.2562597,77.6246174,2.2
1788571714000,13.2562597,77.6246174,2.2
1788571715000,13.2562597,77.6246174,2.19
1788571716000,13.2562597,77.6246174,2.18
1788571717000,13.2562597,77.6246174,2.17
1788571718000,13.2562597,77.6246174,2.16
1788571719000,13.2562597,77.6246174,2.18
1788571720000,13.2562597,77.6246174,2.19
1788571721000,13.2562597,77.6246174,2.19
1788571722000,13.2562597,77.6246174,2.18
1788571723000,13.2562597,77.6246174,2.17
1788571724000,13.2562597,77.6246174,2.23
1788571725000,13.2562597,77.6246174,2.22
1788571726000,13.2562597,77.6246174,2.25
1788571727000,13.2562597,77.6246174,2.26
1788571728000,13.2562597,77.6246174,2.25
1788571729000,13.2562597,77.6246174,2.24
1788571730000,13.2562597,77.6246174,2.24
1788571731000,13.2562597,77.6246174,2.23
1788571732000,13.2562597,77.6246174,2.23
1788571733000,13.2562597,77.6246174,2.22
1788571734000,13.2562597,77.6246174,2.24
1788571735000,13.2562597,77.6246174,2.23
1788571736000,13.2562597,77.6246174,2.22
1788571737000,13.2562597,77.6246174,2.21
1788571738000,13.2562597,77.6246174,2.21
1788571739000,13.2562597,77.6246174,2.2
1788571740000,13.2562597,77.6246174,2.19
1788571741000,13.2562597,77.6246174,2.2
1788571742000,13.2562597,77.6246174,2.2
1788571743000,13.2562597,77.6246174,2.2
1788571744000,13.2562597,77.6246174,2.19
1788571745000,13.2562597,77.6246174,2.18
1788571746000,13.2562597,77.6246174,2.19
1788571747000,13.2562597,77.6246174,2.2
1788571748000,13.2562597,77.6246174,2.21
1788571749000,13.2562597,77.6246174,2.2
1788571750000,13.2562597,77.6246174,2.2
1788571751000,13.2562597,77.6246174,2.21
1788571752000,13.2562597,77.6246174,2.21
1788571753000,13.2562597,77.6246174,2.2
1788571754000,13.2562597,77.6246174,2.23
1788571755000,13.2562597,77.6246174,2.25
1788571756000,13.2562597,77.6246174,2.24
1788571757000,13.2562597,77.6246174,2.23
1788571758000,13.2562597,77.6246174,2.24
1788571759000,13.2562597,77.6246174,2.24
